listing_id,id,date,reviewer_id,reviewer_name,comments,private_feedback,clean_comments
39484967,606791298,2020-02-16,125438457,Danae,The location was the best part of this Airbnb property. Lafayette square restaurants and bars are well within walking distance. However one issue that I will remember in the future was with parking. The ad stated a gated parking lot was provided to guest with access from a key fob. When we arrived the fob was not there. I called Zencity and they told me previous renter took it and they didn’t have a replacement. I was told sorry for the inconvenience. We had to park on the street for the two day stay which can sometimes be tricky in busy St. Louis neighborhoods. The apartment was very nice but one thing I noticed was that the floors were dirty. There was drywall dust on several places and I wouldn’t call the place sparkling clean. Nice appliances and kitchen but beware of the limited hot water supply. It’s a small tank and forces a very quick shower. Kind of a bummer if you need to relax or shave. Pluses and minuses for this place.,"The location was convenient and the building seemed safe. For $150 a night it would have been nice to have a sparkling clean place, parking as listed, and extra towels.",The floors didn’t looks like they were swept very well. There was drywall dust still on floor in several places.
39484969,640129277,2020-07-19,72931067,Matt,Overall a fantastic location close to a beautiful neighborhood! The only issue we had was the fact that other guests don’t know how to respect an Airbnb like it was their own home and the walls were very scuffed and lots of water stains on the paint as well... a fresh coat of paint and this place would be perfect!,,The only thing I would say is that the place overall was very clean but there should be a new coat of (non flat) paint for the whole apartment because people apparently don’t know how to treat an Airbnb like their own and the walls were very scuffed and dirty with water spots.
39485059,604562609,2020-02-11,199751439,Laura,"I had a comfortable stay in this incredibly stylish modern apartment. Awesome value for the price, and conveniently close to some cool bars and main downtown area. 
Only issue was a leak in the roof that dripped when it rained - a minor annoyance, but I share publicly in the hope that the issue is resolved soon, as the small puddle it created could pose a hazard.",Please get the leaking roof fixed as soon as possible!! It is not only an annoyance but a hazard to all future guests!!!,Trash from previous guests was not emptied before my arrival
27961613,430000054,2019-03-29,250049798,Kerri,This is a great place and worth the money. Excellent hosts.,,Shower curtain was moldy on the bottom - otherwise it was spotless and included all cleaning supplies.
39484972,601450953,2020-02-03,146674182,Cristin,Overall had a nice stay for the weekend in this apartment. The neighborhood is very conveniently located to get to many different St. Louis locations.,Overall a good stay. Without the key it was pretty inconvenient for parking and entering the apartment. I chose the location over others based on having the gated parking area so was disappointed that we then had to find street parking when we returned each evening.,The whole weekend we were there a spilling of tomatoes/dressing was directly outside our door and people had garbage bags in the hallways. It did not smell pleasant.
38646026,672418662,2020-10-08,267175386,Subramanian,"Average stay, looks exactly like it is. Floor and bathroom are dirty however. Make sure to clean",,Floor was very dirty when I came in and bathroom had bugs
27525969,429040485,2019-03-26,119834661,Dana & Kenny,"The apartment building is beautiful and the rooms are cute. So close to many shops and eateries. Great if you're a foodie like we are! The architecture is so unique as well, the elevator especially very old fashioned with sliding gate to close.  You do hear slamming doors/people in halls and the light from the hall under your door all night but otherwise great for budget travelers. 
**Our apartment wasn't cleaned properly and reaching out to Zencity was pointless because ""they weren't management ""   Maybe other rooms were better, ours wasn't. The whole time we were there the light didn't work for the main room.",This building was beautiful but cleanness was that to be desired. Sending photos and saying how paying extra for the cleaning charge when it was not is not right. I just got automated responses from you as well as one that said you can't do anything because you're not management of the building.... Not even trying to make things right for us. Our light in the apartment also didn't work and we didn't even bother mentioning it to you because you didn't care about our other concern. I really think its funny you ask for a 5 star rating when you definately  did not even give any courtesy of a 5 star treatment.,"Mostly door knobs and handles there was grime. Also caked on something in the kitchen sink and stucked toilet paper on the radiator. The ceiling light fan didn't work for light, even tried changing bulbs."
39485071,599597725,2020-01-30,103558568,Christina,"Overall experience was great! They are still undergoing construction, so it's very loud during the day. Walls are thin, so you can hear other units clearly. However, for location and price it's a great place and the modern industrial look is great! I would definitely stay again.",I'd give guests a heads up that you're still under construction until work is completed.,From new Construction
40483464,613224745,2020-03-01,315920005,Devorah,"The location was very convenient, there are food options in walking distance. Comfortable beds and bedding. Price was fair. 
Cons- There is only one set of keys available so if you are traveling with others you all have to be on the same schedule (coming and going). The place wasn't cleaned thoroughly. The floors had dirt/dust, and the showers hadn't been wiped down. There was no coffee pot (but a grinder???). A lot of light comes into the larger bedroom which makes it hard to sleep in/nap. The gym is in the basement and the equipment was nice but it was all dirty.","Please pay attention to cleanliness, add a coffee maker, and two sets of keys should be standard for a 2 bedroom place.",The floors were dirty as well as the bathrooms
26423555,442122365,2019-04-22,84586900,Khalid,Very cool building. Public parking available but scarce. About 15 minutes to downtown with your vehicle.,Please clean the bathroom tile.,The crevices in the tile are black. They need a deep cleaning.
26423798,428684836,2019-03-25,221770922,Vanessa,First time using a airbnb so my husband were very excited. The apartment was easy to locate and directions to get inside were very detailed and helpful! Unfortunately when we entered the apartment I could tell it was not newly cleaned. Dust balls on the floor in the hallway and in the living room. Our sheets in the bedroom had stains on them and hair. I tried to communicate this with the host but with no response to this problem. Our stay was not what we expected and hoped for at all.,Thank you for opening up your home to us. It was our first airbnb experience and unfortunately it wasn't the best. My suggestion would be to make sure the apartment is truly cleaned before allowing new guest to stay.,When entering into the apartment there was dust balls on the floor and on the walls. I could tell the apartment had not been recently cleaned. There were multiple stains on our white comforter
35845457,620675807,2020-03-23,341968957,Ramse,The place was wonderful,I've stayed in a few of your places and I like them. I know things happen sometimes so not being able to checkin on time wasnt a deal breaker,Tub and inside the oven needed some extra attention
25983938,638722796,2020-07-16,276639781,Erika,"Very nice location, with great views. Quiet relaxing place! Definitely will keep in mind to book again in the future! (:",We appreciate you letting us stay! we’d look forward to booking with you again! (:,there was hair on the wall
39484976,598695634,2020-01-27,22648653,Dean,The previous reviews were all fairly accurate.  It’s a cool unit in a cool building...but the thin walls...constant noise from people running up the stairs and in the apartment above...made it not the best stay.  Lots of construction...hallways dirty and in disrepair...and for a new unit there was also a lot of damage to the walls in the unit.  For the price it was acceptable but I wouldn’t pay more...and it can’t compete with high quality places in other locations.,,Just lots of marks in surfaces...dust and dirt on floor from construction.
39485051,598707105,2020-01-27,328668977,Nikole,"The apartment was super nice & the building great. Location amazing, tons of restaurants & bars in walking distance. We really enjoyed our time here & would definitely come back!",The apartment was lovely. We didn't like the super long code needed everytime going into door. Light out in bathroom so it was a problem getting ready. Otherwise great location & building was nice! We really enjoyed our stay & would definitely come back,"It wasn't an issue of cleanliness, more maintenance. Light out on bathroom"
34977420,638500601,2020-07-15,340247188,Maysa,Tbh it really could have been better.,I’m sorry about the sheets. My period came unexpectedly and I didn’t know what to do. Otherwise cleaning walls needs done swept and mopped properly and the kitchen cabinets needed washed bad.,The walls in the bedroom were dirty. The bathroom looked clean but the tub was gross and was stopped up so when you shower your standing in water. The floors need scrubbed and the cabinets were absolutely nasty on the outside. There were no pot holders there weren’t any knives to properly cut things.
25983351,637453214,2020-07-12,64432164,Lenny,"THE GOOD:
Gorgeous historic building exterior was fantastic for our photos as we are celebrating a girlfriend's upcoming wedding. Park and beach just across, plenty of room with laundry. 

THE BAD:

We sanitized the whole kitchen area and living area that we had to touch as we've noticed that it wasn't clean. Host was veeeerrryyy slow to respond and offer no help. Sofa was very dirty and stained, hair, pieces of candy wrapper under cushion, we had to put over a comforter to sit on it. Kitchen was not cleaned, fridge smells, microwave splatters all over inside, oven handle and front is sticky. Tons of dead bugs in window sills. NO WIFI our entire stay! Their router modem was faulty. 2nd bedroom's bed was very light and slides on the floor everytime",,"Sofa was very dirty, hair, candy wrapper, stained. Kitchen was not cleaned, fridge smells, microwave splatters all over inside, oven handle and front is sticky. Tons of dead bugs in window sills."
39908380,598187099,2020-01-26,175534425,Annie,"This place did the job for our short stay! Decent, cute apartment with a good location. Parking would be the only downfall, in that you must find street parking or park in a nearby parking garage that is $15.00/day...however, this information from provided in the listing and we were aware of it when booking. Overall, the check in was very easy, even arriving late at night like we did. The door staff was helpful. The apartment was cutely decorated and was a quiet place to stay.",,The carpet was dirty throughout the apartment.
42102591,605939814,2020-02-15,98508120,Carol,"Amazing place-I was pleasantly surprised. Clean, new and uncluttered made for a real ZEN experience. I absolutely will be back- highly recommend.","I absolutely LOVED everything about this space, location and building.   I will be back soon.   Finding it was rough at night dark and then to have door code wrong was frustrating but the place was amazing and great value.  Thank u!!!",No biggie but a lot of small hairs in the bathroom sink- must have been caught around rim of the sink cause when water ran they appeared. Hair and fuzz on the floor by the trash can in BR. Counters could have been wiped better.  A note to your cleaning people🤓
22263956,425187857,2019-03-17,134168959,Tori,"Overall attention to detail as far as cleanliness was not there, with stains on the bed, towel linens, rug, and food left in the sink. I would recommend bringing your own blankets/towels/ pillows. But, street parking was easy to find!",parking was easy to find,"Sheets, comforter, towels were: stained, had hair in them, had crumbs/ lint. The bathroom floor and bathtub still had hair on them. The rug in the living room was stained and overall just looked dirty. The kitchen sink had leftover food in it."
40483468,604567368,2020-02-11,227337874,Maliha,"What a nice little space for a quick trip, thanks for being clean and having such clear directions",,Dirty floors
40483450,595098726,2020-01-19,11205961,Kenny,"Great location and view. Sky on Main is right on the KC Streetcar route, so getting to many popular destinations was very convenient.",,Floors looked like they needed swept/mopped.
40483445,592724122,2020-01-13,259794758,Genevieve,Great location and a good price. Perfect for a weekend in KC!,"Thanks for the stay. You made it very easy,  but you definitely should look into your cleaning crew... I think they partly forgot our unit. Thanks!",The first bathroom was completely disgusting. The quantity of dry pee on the toilet and boots' stains on the floor would suggest that it hadn't been washed in a while... We had to do what we can to clean most of it ourselves with the limited products in the unit before using it.
39485062,618664140,2020-03-15,73786862,Lois,"This stylish and inviting unit is on an open floor plan. Located in a quaint community, close to wonderful cafes, eateries and a park with easy access to highways and a short drive to downtown local attractions and more. With the gated parking lot, not having to mess with street parking was a bonus.",Hand towel loop above bathroom sink broken. Not attached to wall.,"Bed linen had scattered hairs throughout. That being said, towels, bathroom and entire unit was super clean!"
39485071,643035881,2020-07-26,252568412,Paul,"The location can’t be beat. Fre after parking a bit plus in my book.
Building has character.
Second time I have stayed here, first time significant maintenance issues that should have put the unit out of service prior to my check in. Manager tried to resolve the issue, I get a lazy maintenance man...
Give the building a second shot. Unit had a bad smell, if you’ve been around farms, think damp hay in the barn... there was an air freshener in the closet so someone was trying to address the issue. However unit needs a deep cleaning. Email issues to manager I worked with on the prior visit, no one from Zencity responded.
I have pictures of the issues (other than the smell, leave to you imagination) if you want to message me...","Awesome location guys. Was hoping you would have shown me your best foot forward after the leaking ground floor mess last month.
Gave me a unit that smelled of dirty diaper. Mound on the base board in the bathroom and when I emailed the issues, no one responded.
I don’t get it.
Paul","Unit had a ‘wet straw’ barn like smell. Mold on bathroom base boards. Sent email to Zencity manager, did not respond during stay."
27403446,424006464,2019-03-15,247892677,Danajah,The area was nice I had no problem with finding things to do but the host responded very slow or not at all.,,There was just a lot of holes and cracks in the walls in the bedroom but everything else was fine
38646026,618579983,2020-03-15,81498834,Chisa,"Location is very safe, with many places to eat surrounding the area. I think the cleanliness can be better, but otherwise a great Airbnb! The check-in process was very easy to understand.",Thank you for a great stay!,Corners of walls had noticeable dust and dirt. Strange sewage type smell lingered from closet area.  (perhaps from water mains?)
28513963,423633241,2019-03-14,247452796,Grace,The apartment was very dirty and I had to do much of the cleaning myself. Overall the neighborhood was nice and the price was cheap.,"I feel that due to the condition of the house and the lack of cleanliness of the apartment, we should have the cleaning fee returned, as we did much of the cleaning ourselves. There were dirty washcloths in the bathtubs, stains and hair on the sheets and towels in the bedroom, the overall smell of the apartment was unsavory, the amount of crumbs and human nails that were found was appalling, and it seemed that the apartment hadn’t been cleaned in quite a while.",The sheets in the bedroom were stained and appeared unclean. There were used wash clothes in the bathroom. There were stains inside the cupboards and there was expired meat in the freezer. The living room was filthy with crumbs and dirt everywhere. Inside of the fouton there were crumbs and fingernails within the cracks as if it hadn’t been cleaned for quite a while. My friend and I bought many cleaning supplies and had to clean in order to feel comfortable staying in the place.
42691218,626686714,2020-05-29,262507952,Jeremy,"Excellent location, it wasn’t clean at all, other then that, it was pretty decent !!!","Cleanliness was off, everything else was alright!","The showers had footprints in them, there was throw up in the master bathroom sink, the floors were dirty, the water alarm went off, there was food in the kitchen sink, urine on the toilets, ash on the master bedroom bathroom floor!!!"
39149897,594393498,2020-01-18,185544453,Kimberly,"Again, Zencity has not disappointed. You’ll love their units. Great properties! Great prices! Book today!","Great safe property, but this unit may need more care and upkeep with the age of the building. Better heating (and possibly cooling) units would probably help the overall stay. 

In addition, I would have maintenance for Zencity check the door lock. The door was very hard to open and close on this unit. The door appeared more older and worn. The central west end is a beautiful area in St. Louis, but units and property can be older and in need of updating. 

Overall good stay besides these things.",Apartment dusty and needed to be cleaned a little better. Probably due to hardwood floors throughout. My allergies started acting up due to the amount of dust. This was an older building so that may have contributed to the difference between the newer unit in Soulard that wasn’t as dusty.
40483462,590797203,2020-01-09,84752370,Chanaa,Very cool location with modern  furnishings. Host was very accommodating.,There was an issue with the internet and keeping Netflix going. Other than that the place was a delight to stay.,There was hair in the tub around the fixtures.
40483445,589152967,2020-01-05,92811290,Monica,"Awful experience, inaccurate listing, Hosts were helpful with initial issues but once the issues grew, They went silent and were no longer helpful. Apartment was dirty, no trash bags, no actual coffee maker, dryer did not work, I would not trust Zen city with another trip of mine.",You were quick to respond to any initial issues but once you were asked for a partial refund you went silent and no longer were so helpful.,Bathroom floors were dirty urine residue on bottom near toilets and tile floors were dirty with residue not mopped. Kitchen stainless appliances were smeared all over.
40483462,579458516,2019-12-20,268468673,Vince,"The apartment is located in an area central to Kansas City which made it very easily to go to destinations in River Market and Westport. The building and apartment are both very stylish, not really much you could ask for on that end. Definitely worth the value, I’d recommend this apartment if you want a chance to experience what KC has to offer","Other than the slight tidiness and and thermostat mishap I think this could be a great rental unit. Maybe keep it set at 68 or something a little more reasonable than 62? Fantastic location, stylish apartment and building. I did definitely notice the neighbors above walking around came through the ceiling so I understand the concern for noise in the listing. I also noticed there were ice trays in the fridge too late into my trip to fill any, maybe you could leave one of those filled for the guests? Either way I enjoyed my stay and it gave me a good chance to explore the city, I’d definitely like to return! Happy holidays","Crumbs of trail mix on couch, out of hand soap in bathroom"
41196845,617285750,2020-03-12,51593344,Carlee,"First, I must say the decor, layout and lighting are all fab! It was a pleasant surprise to see the choice of art books provided to read, as we were in town for an upcoming art exhibition. Private entry and free gated parking made our late arrival most convenient . This was a quick trip for us and we only had enough time to eat dinner and sleep. With that being said, I must note the kitchen had everything we needed and the bed is incredibly comfortable. Unlike some other reviews we found the neighborhood to be one of the quietest we’ve experienced in a city and slept great! Our stay was relaxing, convenient and enjoyable. We hope to stay again in the future!","This was a quick trip for us and we are so appreciative for your swift replies, and the thoroughness of communication. We especially appreciate the detailed information for accessing entry and parking, etc. It made the process of check-in so much smoother. Thank you!","Bathroom: The toilet was not clean and had evidence of remnants. Also, a bathmat/towel was left in the floor. Unsure if it was clean or used. 

Kitchen: The sink had food scraps tucked in the corners of the sink and stuck on the sides."
15285200,190586362,2017-09-04,55832439,Brent,"Awesome place, Chris. Very smooth, and well directed. I will be inquiring next time I'm in Chicago. Thank you for the pleasant stay.","Awesome place, Chris. Very smooth, and well directed. I will be inquiring next time I'm in Chicago. Thank you for the pleasant stay.","Your guest suggested that your space could be cleaner in the following areas: dust, floors and carpet."
37596406,646422186,2020-08-03,36615505,Dilesky,The home was in a great location. Plenty to do and see nearby. Great food options and right next to the train station.,Thanks again for letting us stay in your home!,"Mold in the ceiling in one of the bedrooms, and dust on the blinds around the home."
27962066,709619727,2020-11-17,155947329,Matt,"Very nice in many ways, such as being large and spacious. However, the bathroom and kitchen were not clean. If the apartment was fully cleaned it would be an incredible place!",,The shower curtain had bits of hard soap clinging to it and the bathroom in general was not clean. The kitchen had dirty countertops and the kitchen floor was quite dirty.
25983938,709231812,2020-11-15,352966097,Kiera,I Enjoyed My Stay Here & Was Surprised To See The Water From The Room! I Caught The Sunrise Each Day I Was There Which I Truly Appreciate! Thank You!,,There Were Random Hairs In The Sleeping Area & On The Couch. Other Than That It Was Good!
32147463,420774671,2019-03-07,227344761,Chi,"Overall, it was a good place. The only complaints I have were regarding the slow and sometimes not relevant responses and the sickening smell coming from the bathroom. But in their defense, it was a building issue and the maintenance person said it would take a few days to fix (after my stay). Unfortunately, I had to endure it but maybe by the time you book, all will be fine.

The slow response was really inconvenient once when I had to extend my stay but before they responded, a photo crew had already come in and we had move everything outside to wait. 

I am a 'home person' so I loved that I never really had to leave for anything except food and what I came for. THIS IS THE BEST PART- The owner really put thought into stocking the place with household items like laundry and dishwasher pods, pots and pans, phone chargers, air fresheners, etc. Things you don't think you will need on a trip, they had the foresight to put it there.  

All in all, I think my issues were just luck and I would recommend booking here.","Everything was good except for the smell and slow responses. It seems a lot of thought went into making the apartment feel like 'home' (very convenient courtesies). Perhaps add a micro USB charger (Samsung, other non Apple devices).","There was an odd smell emanating from the bathroom, but to be fair, it may have been and issue in multiple floors of the building not owned by Zencity."
39484972,589689207,2020-01-06,62692505,Julie,"Very cool space, modern and comfortable.
Cleanliness left some to be desired.  The shower had not been cleaned.  Still need to tweak some amenities (lots of pans, but no pot holders to get them out of the oven) - nothing to really use as a pot holder (no rags, no kitchen towels, nothing).  Little things that I'm sure they will address.  People in the hall were consistently noisy.  Otherwise, we loved the stay.  Everything was functional and nice to look at.  Parking is super safe and the neighborhood is safe and close to the highway as well.  Great restaurants close by.","Need pot holders or kitchen towels
Cleaning crew needs a stern talking to, sheets were changed but I can't say anything else was actually cleaned
Jet dry for the dishwasher to help dry the dishes","The bathroom (specifically the shower) had all sorts of hair in it (pubes or leg hairs or both, plus head hair).  The floors had foot prints all over them (which I was able to wipe up in the bathroom).  The bathroom counter wasn't clean.  Dishes were put up in the cabinet wet.  There was pink glittery tinsel all over the place, mostly in the bedroom. Carpet clearly not vacuumed.  Earrings on the floor right by the bed (vacuum should have caught them and all the glittery tinsel stuff)."
39485077,587896716,2020-01-03,42950815,Taylor,Overall stay was okay. Apartment was beautiful and just as described/pictured. We had some issues regarding building security but hopefully they are addressed and not an issue for people who stay in the future.,"Overall stay was okay. Apartment was beautiful and just as described/pictured. Still had some construction dust in the unit. When we arrived we accidentally transposed numbers of apartments and went to the wrong one. Entered code and were granted access to someone else’s apartment. Both they and we were freaked out when we walked in on them. Definitely a concern that our code worked for both units. Construction workers woke us up at 8:30 AM wanting to install lights under cabinets. Aren’t we supposed to be made aware of people entering our apartment? There is no peep hole to see into the hallway and as two women staying alone in a new city, this is a major security issue. The superintendent of the building was extremely rude and said it needed to be done before the New Year even though we were not comfortable with two strange men entering our apartment. Fire alarm went off at 6:45 one morning and didn’t turn off for 45 minutes. I understand the building is in the final stages of renovation, but the security issues are very disconcerting.",Clean for the most part. Some construction mess still in the unit.
16439846,279798564,2018-06-21,181900138,Peyton,"This is a great location! It is a five minute walk to the blue line, allowing you to get downtown in about 20 minutes. We had 6 people and we all could sleep with plenty of enjoyment. There isn’t too much seating other than a couch, a chair, and 4 barstools. The TV is really nice and very easy to run. The bathrooms were nice and soap, shampoo, and conditioner were supplied. There is plenty of space to maneuver around and chill in. For the price, I would stay here again.",Thanks for letting us stay there! It was a great stay and it was so nice being close to the Blue Line. I would recommend getting paper towels for the condominium though. Some more food recommendations would’ve been nice.,Hair on the ground
26420661,419171325,2019-03-03,2069048,Kavi,"Fantastic place to stay. It’s right in the middle of Milwaukee Ave so waking distance to everything. About a 5-8 min walk to the blue line so easy access to downtown/ohare. Please is sparkling clean. I would stay here. 

The only draw back are the floors creak quite a bit, and when the heater turns on, it makes a metal clashing sound. I feel these are minor for me(ear plugs solved these) but just a fair warning.",Fantastic place to stay! Amazing location and spot on directions to check in.,"Towels weren’t all clean. Some had spots, others hard hair in it"
26423798,416966565,2019-02-25,243515281,Ixcalli,Lovely place! Great view and host was very good at responding!,There was condoms under the couch cushions and  in the kitchen cabinets & empty wrappers found under the bed,Certain trash left behind for previous people
16439846,229034481,2018-01-21,166486384,Ana Lilia,"El departamento es muy lindo y amplio, tal como se observa en las fotos.

Brian está atento a responder todos tus mensajes y dudas sobre el departamento de manera inmediata.","Muchas gracias por tu atención, por estar siempre al pendiente y respondernos de forma inmediata, por permitirnos hacer ""late check out"". 

Las opciones adicionales como ofrecer tés y café están muy bien. El departamento en general es muy lindo.

Los únicos detalles que encontramos fueron:
- La limpieza no está muy bien hecha, principalmente en pisos
- No hay suficiente número de tazas y vajilla
- La reja que está junto con la puerta de madera para entrar al departamento no funciona","Your guest suggested that your space could be cleaner in the following areas: towels and linens, bathroom, floors and carpet, shower. Additional comments: “Había cabellos en el piso del baño, en las sábanas y en toallas, yo creo que la persona que hace la limpieza no la hace bien”."
39484976,586216367,2020-01-01,34922240,Zachary,"This is a very clean, well-appointed apartment in a terrific location. However, there is significant renovation work happening in this building at the time of this review. Also, the soundproofing is pretty minimal - while in the bedroom, you can loudly hear anyone going up and down the stairs from one of the building’s entrances. If you’re looking for a quiet place to stay, this might not be your best option in STL.","On 12/31, the fire alarm went off in the building around 6 AM. A man who identified himself as a janitor said that it was set off by accident. Unfortunately, the fire alarm in the room was blaring loudly for almost 45 minutes. Between this and the significant renovation activity in the building, our stay wasn’t as frictionless as we had hoped. I hope you’ll give future guests a clear heads-up that this building is being actively renovated so they can decide whether it’s a good fit for their needs. Other than those issues, this is a beautiful apt. Hope this feedback is useful, thanks for hosting us.","The building is undergoing renovations so the hallways were full of debris, nails, and construction materials."
